Date	Close	Open	High	Low	Volume
2011-07-06	81.62	80.97	81.93	80.93	2339319
2011-07-07	81.36	82.23	82.23	81.24	1950441
2011-07-08	80.51	80.59	81.03	80.31	2071123
2011-07-11	79.98	79.73	80.11	79.51	1733710
2011-07-12	79.71	79.87	80.0	79.25	1975862
2011-07-13	79.67	80.07	80.88	79.44	1824657
2011-07-14	79.2	79.63	79.72	78.94	1574488
2011-07-15	78.37	79.46	79.46	77.61	2322991
2011-07-18	77.44	78.12	78.14	76.96	1574003
2011-07-19	78.4	77.51	78.6694	77.47	1790811
2011-07-20	78.32	78.4	78.8	77.99	1431533
2011-07-21	80.16	78.79	80.39	78.59	1794146
2011-07-22	79.6	79.88	80.0	78.98	1272501
2011-07-25	79.3	78.91	79.74	78.53	1514701
2011-07-26	80.82	81.34	81.99	79.94	3087821
2011-07-27	77.46	80.28	80.58	77.22	2930758
2011-07-28	75.29	77.45	77.85	74.44	4943654
2011-07-29	75.73	74.62	76.94	74.59	3454761
2011-08-01	74.46	76.11	76.11	73.43	3494160
2011-08-02	73.68	73.96	75.11	73.62	4184072
2011-08-03	73.56	73.54	74.01	72.35	3432748
2011-08-04	71.32	72.88	72.96	71.3	3332902
2011-08-05	72.82	72.04	73.98	71.98	6414562
2011-08-08	68.9	71.65	72.87	68.77	4897196
2011-08-09	70.88	69.45	70.99	67.06	8253665
2011-08-10	66.87	69.48	69.8	66.68	4806472
2011-08-11	68.84	66.99	69.7	66.36	3298808
2011-08-12	69.12	69.66	70.35	68.07	3262255
2011-08-15	70.26	69.83	70.48	69.42	3031215
2011-08-16	70.69	69.99	71.9299	69.37	3183985
2011-08-17	71.19	71.0	71.66	70.6205	2366828
2011-08-18	69.38	69.74	69.96	68.32	4174709
2011-08-19	69.39	68.33	70.23	68.1701	3031699
2011-08-22	69.92	70.4	70.77	69.4	1990244
2011-08-23	71.88	70.23	71.98	70.11	2531160
2011-08-24	73.26	71.77	73.29	71.52	1711622
2011-08-25	72.04	73.53	73.75	71.73	2004328
2011-08-26	73.25	71.71	73.27	70.52	1842456
2011-08-29	74.07	73.81	74.46	73.14	1869008
2011-08-30	74.1	73.21	74.57	72.5	2193795
2011-08-31	74.19	74.58	74.75	73.67	1814481
2011-09-01	73.05	74.4	75.0	72.95	2352845
2011-09-02	71.37	72.14	72.66	71.13	2202784
2011-09-06	71.22	69.67	71.33	69.1	2347872
2011-09-07	72.94	72.1	73.18	71.43	1668332
2011-09-08	71.94	72.55	73.0	71.82	1735750
2011-09-09	71.57	71.16	71.98	70.53	2546655
2011-09-12	72.24	70.5	72.29	70.5	2527810
2011-09-13	72.71	72.62	74.22	72.16	3090546
2011-09-14	73.58	73.07	74.5	72.61	2807443
2011-09-15	75.44	73.76	75.5	73.76	2038393
2011-09-16	76.03	75.28	76.21	74.51	4099462
2011-09-19	76.69	75.06	77.04	74.84	3547488
2011-09-20	75.44	76.94	76.99	75.32	3063004
2011-09-21	72.65	75.47	75.73	72.65	4054162
2011-09-22	73.14	70.87	74.21	70.7708	5399426
2011-09-23	72.09	73.48	74.72	71.74	4777062
2011-09-26	73.78	72.98	73.8	72.19	4816635
2011-09-27	74.27	75.17	75.23	73.71	2929258
2011-09-28	73.32	74.3	74.915	73.24	1831177
2011-09-29	72.49	74.25	74.39	71.0	3619329
2011-09-30	72.64	71.69	73.4	71.53	3347762
2011-10-03	71.16	72.58	73.2936	71.11	2724083
2011-10-04	72.7	70.45	72.76	70.37	2251733
2011-10-05	72.49	73.1	73.77	71.97	2974284
2011-10-06	73.13	72.27	73.73	72.11	2150789
2011-10-07	74.0	73.6	74.7997	73.08	2385725
2011-10-10	75.75	75.24	75.81	74.5101	1542968
2011-10-11	76.32	75.46	76.6	75.46	1597187
2011-10-12	76.13	76.63	76.92	75.96	1436977
2011-10-13	76.41	75.9	76.59	75.28	1137973
2011-10-14	75.99	77.01	77.1	75.73	1744907
2011-10-17	74.72	75.75	76.45	74.56	2476922
2011-10-18	75.98	74.8	76.42	74.235	1959448
2011-10-19	75.47	75.9	76.68	75.21	1226696
2011-10-20	75.7	75.75	76.05	74.81	1368518
2011-10-21	77.4	76.41	77.4	75.64	2122296
2011-10-24	78.73	77.39	78.855	76.57	2207074
2011-10-25	78.89	78.66	79.9	78.05	3274851
2011-10-26	76.35	78.94	78.94	75.64	4405741
2011-10-27	75.65	78.02	78.3	75.22	3157762
2011-10-28	75.43	75.72	76.69	75.06	2245106
2011-10-31	75.9	75.28	77.0	75.0888	3272169
2011-11-01	73.99	74.555	75.06	73.48	2710289
2011-11-02	74.52	74.73	75.29	74.33	1968573
2011-11-03	76.09	75.16	76.21	74.6	1411855
2011-11-04	76.52	75.53	76.52	74.74	2936518
2011-11-07	78.26	76.43	78.42	75.96	2541827
2011-11-08	78.39	78.42	78.87	77.54	2209133
2011-11-09	76.95	77.02	77.53	76.56	2772925
2011-11-10	76.13	77.3	77.4	75.77	2608315
2011-11-11	77.42	76.94	77.81	76.78	1728803
2011-11-14	77.35	77.33	77.95	77.23	1497767
2011-11-15	77.85	77.12	78.14	77.01	1405789
2011-11-16	75.93	77.095	77.32	75.77	2368178
2011-11-17	75.16	75.75	75.98	74.39	2894958
2011-11-18	75.1	75.6	75.72	74.94	6630314
2011-11-21	74.49	74.16	74.89	72.3667	8533797
2011-11-22	74.47	74.51	74.94	73.57	2297218
2011-11-23	73.95	73.76	74.57	73.5501	2479606
2011-11-25	75.39	74.02	76.23	74.0	2001861
2011-11-28	78.0	76.81	78.0	76.0	5886495
2011-11-29	76.51	77.29	77.29	76.35	2648030
2011-11-30	78.15	78.03	78.86	77.73	2998480
2011-12-01	78.98	78.14	79.49	78.11	1897642
2011-12-02	77.82	79.55	79.8	77.23	2421665
2011-12-05	78.11	78.56	78.66	77.6	2526743
2011-12-06	77.91	77.8	78.49	77.62	1498256
2011-12-07	77.57	77.94	78.05	77.37	2093592
2011-12-08	76.52	77.47	77.65	76.42	1797171
2011-12-09	77.42	77.05	77.7	77.02	1239623
2011-12-12	76.89	77.44	77.47	76.4	1450129
2011-12-13	76.73	77.375	77.77	76.46	1642130
2011-12-14	76.29	76.72	76.87	76.02	1439737
2011-12-15	76.92	77.07	77.52	76.76	1972433
2011-12-16	77.1	77.62	77.88	76.32	4217656
2011-12-19	76.82	77.28	77.69	76.6	1393148
2011-12-20	78.53	77.94	78.87	77.83	1749884
2011-12-21	79.63	78.45	79.69	78.02	1820609
2011-12-22	80.81	79.82	81.03	79.63	2793206
2011-12-23	81.41	81.0	81.46	80.67	1927422
2011-12-27	81.32	81.33	81.66	80.94	1483138
2011-12-28	80.94	81.68	81.78	80.85	840375
2011-12-29	81.52	80.96	81.74	80.88	1123615
2011-12-30	80.9	81.65	81.86	80.86	1474699
2012-01-03	82.02	82.12	82.99	81.7707	2273502
2012-01-04	80.91	80.95	81.45	80.37	2242707
2012-01-05	80.07	80.66	80.68	79.05	2616074
2012-01-06	79.98	80.41	80.41	79.65	4274250
2012-01-09	80.04	80.35	80.35	79.76	1861413
2012-01-10	80.62	80.63	81.2	80.36	1846694
2012-01-11	80.78	80.49	81.13	80.49	1245844
2012-01-12	81.69	81.12	81.77	80.76	1822670
2012-01-13	81.52	81.16	81.53	80.8	1475766
2012-01-17	81.64	82.05	82.1	81.35	1954714
2012-01-18	82.28	81.59	82.28	81.34	1155879
2012-01-19	83.71	82.25	83.71	81.85	1959314
2012-01-20	82.78	83.15	83.44	82.54	2461681
2012-01-23	82.54	82.83	82.86	81.9	1716632
2012-01-24	82.24	82.55	82.81	82.12	1138945
2012-01-25	81.73	82.04	82.27	81.25	2421477
2012-01-26	82.47	82.47	82.95	81.29	2733610
2012-01-27	82.02	82.0	82.55	81.66	1952415
2012-01-30	82.01	81.32	82.13	81.29	3109826
2012-01-31	82.32	82.2	82.4	81.7	2879305
2012-02-01	83.52	82.54	83.72	82.26	2114114
2012-02-02	83.17	83.56	83.7	82.9027	1298770
2012-02-03	84.59	83.41	84.73	83.25	3366757
2012-02-06	85.25	84.38	85.4	84.34	2028301
2012-02-07	86.63	85.0	86.64	85.0	2871278
2012-02-08	87.64	86.57	87.71	86.14	3393980
2012-02-09	88.01	87.66	88.07	87.4	2864902
2012-02-10	87.51	87.13	87.72	87.0	1928131
